i,Li,Ni,Hi
1,1.0,1,1
2,3.0,1,1
3,7.0,1,1
4,7.0,1,1
5,3.0,1,1
6,7.0,1,1
7,7.0,1,1
8,4.0,1,1
9,2.0,1,1
10,3.4,1,1
11,3.4,1,1
12,17.7,1,1
13,14.8,1,1
14,42.2,1,1
15,29.0,1,1
16,6.7,1,1
17,7.9,1,1
18,30.3,1,1
19,17.6,1,1
20,17.7,1,1
21,3.9,1,1
22,20.8,1,1
23,17.6,1,1
24,17.7,1,1
25,5.2,1,1
26,3.4,1,1
27,14.8,1,1
28,42.2,1,1
29,37.5,1,1
30,6.7,1,1
31,57.8,1,1
32,47.8,1,1
33,8.0,1,1
34,10.4,1,1
35,5.3,1,1
36,2.0,1,1
37,12.5,1,1
38,6.3,1,1
39,7.1,1,1
40,17.2,1,1
41,1.0,1,1
42,3.2,1,1
43,1.0,1,1
44,3.2,1,1
45,10.6,1,1
46,5.0,1,1
47,1.0,1,1
48,5.9,1,1
49,5.8,1,1
50,14.4,1,1
51,5.0,1,1
52,44.3,1,1
53,7.3,1,1
54,21.0,1,1
55,16.0,1,1
56,14.5,1,1
57,5.0,1,1
58,44.4,1,1
59,12.7,1,1
60,32.2,1,1
61,40.9,1,1